nombre,Semana.,Unid x Minuto,Cumplimiento
Chiclayo - PVH,Semana 01,12.73,90.94 %
Chiclayo Aventura - PVH,Semana 01,11.44,81.72 %
Chimbote - PVH,Semana 01,14.53,96.89 %
El Chacarero - PVH,Semana 01,14.31,102.24 %
Nvo Chimbote - PVH,Semana 01,12.11,86.47 %
Paita - PVH,Semana 01,14.01,100.05 %
Piura - PVH,Semana 01,13.55,96.79 %
Sullana - PVH,Semana 01,30.70,109.66 %
Talara - PVH,Semana 01,13.94,99.59 %
Talara Municipalidad - PVH,Semana 01,14.46,103.27 %
Tumbes - PVH,Semana 01,11.74,83.87 %
Chiclayo - PVH,Semana 02,12.10,86.46 %
Chiclayo Aventura - PVH,Semana 02,12.80,91.39 %
Chimbote - PVH,Semana 02,13.66,91.09 %
El Chacarero - PVH,Semana 02,14.32,102.28 %
Nvo Chimbote - PVH,Semana 02,11.20,80.01 %
Paita - PVH,Semana 02,14.31,102.22 %
Piura - PVH,Semana 02,12.97,92.66 %
Sullana - PVH,Semana 02,24.26,86.65 %
Talara - PVH,Semana 02,12.82,91.55 %
Talara Municipalidad - PVH,Semana 02,13.53,96.65 %
Tumbes - PVH,Semana 02,12.53,89.51 %
Chiclayo - PVH,Semana 03,12.72,90.83 %
Chiclayo Aventura - PVH,Semana 03,12.14,86.70 %
Chimbote - PVH,Semana 03,12.93,86.20 %
El Chacarero - PVH,Semana 03,13.81,98.62 %
Nvo Chimbote - PVH,Semana 03,11.03,78.82 %
Paita - PVH,Semana 03,15.92,113.73 %
Piura - PVH,Semana 03,13.67,97.65 %
Sullana - PVH,Semana 03,22.88,81.71 %
Talara - PVH,Semana 03,11.51,82.21 %
Talara Municipalidad - PVH,Semana 03,14.06,100.44 %
Tumbes - PVH,Semana 03,12.62,90.13 %
Chiclayo - PVH,Semana 04,11.14,79.58 %
Chiclayo Aventura - PVH,Semana 04,12.09,86.37 %
Chimbote - PVH,Semana 04,13.78,91.89 %
El Chacarero - PVH,Semana 04,13.24,94.58 %
Nvo Chimbote - PVH,Semana 04,11.19,79.89 %
Paita - PVH,Semana 04,15.86,113.26 %
Piura - PVH,Semana 04,13.35,95.38 %
Sullana - PVH,Semana 04,22.41,80.05 %
Talara - PVH,Semana 04,12.10,86.44 %
Talara Municipalidad - PVH,Semana 04,14.12,100.83 %
Tumbes - PVH,Semana 04,13.99,99.94 %
Chiclayo - PVH,Semana 05,12.42,88.74 %
Chiclayo Aventura - PVH,Semana 05,11.41,81.48 %
Chimbote - PVH,Semana 05,13.27,88.49 %
El Chacarero - PVH,Semana 05,14.11,100.80 %
Nvo Chimbote - PVH,Semana 05,12.18,87.02 %
Paita - PVH,Semana 05,15.74,112.43 %
Piura - PVH,Semana 05,13.42,95.87 %
Sullana - PVH,Semana 05,25.27,90.24 %
Talara - PVH,Semana 05,11.53,82.36 %
Talara Municipalidad - PVH,Semana 05,14.27,101.93 %
Tumbes - PVH,Semana 05,12.89,92.06 %
Chiclayo - PVH,Semana 06,12.92,92.32 %
Chiclayo Aventura - PVH,Semana 06,12.23,87.36 %
Chimbote - PVH,Semana 06,16.08,107.23 %
El Chacarero - PVH,Semana 06,14.44,103.14 %
Nvo Chimbote - PVH,Semana 06,11.50,82.11 %
Paita - PVH,Semana 06,16.56,118.28 %
Piura - PVH,Semana 06,13.66,97.59 %
Sullana - PVH,Semana 06,30.08,107.42 %
Talara - PVH,Semana 06,13.00,92.88 %
Talara Municipalidad - PVH,Semana 06,15.02,107.26 %
Tumbes - PVH,Semana 06,12.27,87.66 %
Chiclayo - PVH,Semana 07,13.26,94.73 %
Chiclayo Aventura - PVH,Semana 07,12.48,89.15 %
Chimbote - PVH,Semana 07,14.31,95.37 %
El Chacarero - PVH,Semana 07,14.79,105.65 %
Nvo Chimbote - PVH,Semana 07,12.04,85.97 %
Paita - PVH,Semana 07,17.55,125.36 %
Piura - PVH,Semana 07,14.16,101.15 %
Sullana - PVH,Semana 07,25.69,91.75 %
Talara - PVH,Semana 07,12.25,87.48 %
Talara Municipalidad - PVH,Semana 07,13.89,99.24 %
Tumbes - PVH,Semana 07,12.20,87.17 %
Chiclayo - PVH,Semana 08,12.81,91.49 %
Chiclayo Aventura - PVH,Semana 08,12.51,89.35 %
Chimbote - PVH,Semana 08,14.58,97.18 %
El Chacarero - PVH,Semana 08,14.13,100.90 %
Nvo Chimbote - PVH,Semana 08,12.37,88.32 %
Paita - PVH,Semana 08,16.13,115.21 %
Piura - PVH,Semana 08,13.54,96.68 %
Sullana - PVH,Semana 08,24.85,88.75 %
Talara - PVH,Semana 08,12.69,90.65 %
Talara Municipalidad - PVH,Semana 08,13.92,99.44 %
Tumbes - PVH,Semana 08,12.44,88.85 %
Chiclayo - PVH,Semana 09,12.53,89.51 %
Chiclayo Aventura - PVH,Semana 09,12.03,85.91 %
Chimbote - PVH,Semana 09,15.51,103.42 %
El Chacarero - PVH,Semana 09,15.64,111.72 %
Nvo Chimbote - PVH,Semana 09,13.29,94.91 %
Paita - PVH,Semana 09,15.59,111.38 %
Piura - PVH,Semana 09,14.16,101.12 %
Sullana - PVH,Semana 09,26.31,93.96 %
Talara - PVH,Semana 09,11.69,83.48 %
Talara Municipalidad - PVH,Semana 09,14.24,101.69 %
Tumbes - PVH,Semana 09,12.90,92.13 %
Chiclayo - PVH,Semana 10,13.33,95.23 %
Chiclayo Aventura - PVH,Semana 10,13.19,94.22 %
Chimbote - PVH,Semana 10,14.71,98.07 %
El Chacarero - PVH,Semana 10,14.82,105.86 %
Nvo Chimbote - PVH,Semana 10,13.18,94.16 %
Paita - PVH,Semana 10,16.54,118.14 %
Piura - PVH,Semana 10,14.35,102.48 %
Sullana - PVH,Semana 10,24.71,88.25 %
Talara - PVH,Semana 10,12.80,91.41 %
Talara Municipalidad - PVH,Semana 10,14.65,104.63 %
Tumbes - PVH,Semana 10,12.65,90.37 %
Chiclayo - PVH,Semana 11,12.29,87.80 %
Chiclayo Aventura - PVH,Semana 11,13.41,95.79 %
Chimbote - PVH,Semana 11,13.97,93.16 %
El Chacarero - PVH,Semana 11,15.37,109.80 %
Nvo Chimbote - PVH,Semana 11,13.19,94.23 %
Paita - PVH,Semana 11,16.72,119.46 %
Piura - PVH,Semana 11,14.04,100.28 %
Sullana - PVH,Semana 11,22.25,79.46 %
Talara - PVH,Semana 11,12.95,92.49 %
Talara Municipalidad - PVH,Semana 11,14.73,105.24 %
Tumbes - PVH,Semana 11,12.97,92.64 %
Chiclayo - PVH,Semana 12,12.72,90.85 %
Chiclayo Aventura - PVH,Semana 12,12.79,91.34 %
Chimbote - PVH,Semana 12,15.07,100.45 %
El Chacarero - PVH,Semana 12,15.77,112.62 %
Nvo Chimbote - PVH,Semana 12,13.40,95.72 %
Paita - PVH,Semana 12,16.99,121.34 %
Piura - PVH,Semana 12,12.91,92.24 %
Sullana - PVH,Semana 12,21.05,75.20 %
Talara - PVH,Semana 12,12.07,86.24 %
Talara Municipalidad - PVH,Semana 12,13.73,98.07 %
Tumbes - PVH,Semana 12,13.19,94.18 %
Chiclayo - PVH,Semana 13,12.30,87.84 %
Chiclayo Aventura - PVH,Semana 13,13.13,93.80 %
Chimbote - PVH,Semana 13,15.16,101.06 %
El Chacarero - PVH,Semana 13,15.63,111.64 %
Nvo Chimbote - PVH,Semana 13,13.64,97.42 %
Paita - PVH,Semana 13,16.56,118.26 %
Piura - PVH,Semana 13,12.67,90.48 %
Sullana - PVH,Semana 13,21.42,76.50 %
Talara - PVH,Semana 13,12.62,90.14 %
Talara Municipalidad - PVH,Semana 13,14.26,101.82 %
Tumbes - PVH,Semana 13,14.43,103.05 %
Chiclayo - PVH,Semana 14,12.92,92.25 %
Chiclayo Aventura - PVH,Semana 14,15.01,107.21 %
Chimbote - PVH,Semana 14,14.46,96.41 %
El Chacarero - PVH,Semana 14,14.47,103.35 %
Nvo Chimbote - PVH,Semana 14,13.58,97.02 %
Paita - PVH,Semana 14,16.48,117.69 %
Piura - PVH,Semana 14,12.80,91.46 %
Sullana - PVH,Semana 14,19.66,70.20 %
Talara - PVH,Semana 14,13.64,97.45 %
Talara Municipalidad - PVH,Semana 14,14.45,103.24 %
Tumbes - PVH,Semana 14,14.77,105.46 %
Chiclayo - PVH,Semana 15,11.95,85.35 %
Chiclayo Aventura - PVH,Semana 15,14.06,100.46 %
Chimbote - PVH,Semana 15,14.07,93.78 %
El Chacarero - PVH,Semana 15,14.32,102.31 %
Nvo Chimbote - PVH,Semana 15,13.71,97.90 %
Paita - PVH,Semana 15,15.44,110.29 %
Piura - PVH,Semana 15,12.82,91.54 %
Sullana - PVH,Semana 15,21.84,78.02 %
Talara - PVH,Semana 15,14.06,100.42 %
Talara Municipalidad - PVH,Semana 15,13.88,99.16 %
Tumbes - PVH,Semana 15,14.68,104.88 %
Chiclayo - PVH,Semana 16,12.31,87.94 %
Chiclayo Aventura - PVH,Semana 16,14.02,100.16 %
Chimbote - PVH,Semana 16,15.04,100.27 %
El Chacarero - PVH,Semana 16,14.47,103.34 %
Nvo Chimbote - PVH,Semana 16,13.08,93.45 %
Paita - PVH,Semana 16,17.26,123.28 %
Piura - PVH,Semana 16,13.42,95.89 %
Sullana - PVH,Semana 16,20.71,73.95 %
Talara - PVH,Semana 16,13.02,92.97 %
Talara Municipalidad - PVH,Semana 16,14.19,101.39 %
Tumbes - PVH,Semana 16,14.21,101.51 %
Chiclayo - PVH,Semana 17,12.34,88.12 %
Chiclayo Aventura - PVH,Semana 17,14.65,104.68 %
Chimbote - PVH,Semana 17,14.57,97.13 %
El Chacarero - PVH,Semana 17,14.60,104.29 %
Nvo Chimbote - PVH,Semana 17,13.00,92.85 %
Paita - PVH,Semana 17,16.58,118.46 %
Piura - PVH,Semana 17,13.22,94.45 %
Sullana - PVH,Semana 17,22.47,80.24 %
Talara - PVH,Semana 17,13.38,95.59 %
Talara Municipalidad - PVH,Semana 17,14.66,104.71 %
Tumbes - PVH,Semana 17,14.64,104.60 %
Chiclayo - PVH,Semana 18,12.45,88.91 %
Chiclayo Aventura - PVH,Semana 18,14.34,102.44 %
Chimbote - PVH,Semana 18,13.78,91.90 %
El Chacarero - PVH,Semana 18,15.08,107.68 %
Nvo Chimbote - PVH,Semana 18,13.51,96.50 %
Paita - PVH,Semana 18,15.95,113.90 %
Piura - PVH,Semana 18,13.80,98.59 %
Sullana - PVH,Semana 18,22.39,79.96 %
Talara - PVH,Semana 18,12.43,88.79 %
Talara Municipalidad - PVH,Semana 18,14.50,103.60 %
Tumbes - PVH,Semana 18,14.84,106.02 %
Chiclayo - PVH,Semana 19,12.44,88.87 %
Chiclayo Aventura - PVH,Semana 19,14.15,101.04 %
Chimbote - PVH,Semana 19,15.28,101.86 %
El Chacarero - PVH,Semana 19,13.57,96.92 %
Nvo Chimbote - PVH,Semana 19,14.07,100.48 %
Paita - PVH,Semana 19,17.29,123.48 %
Piura - PVH,Semana 19,13.38,95.58 %
Sullana - PVH,Semana 19,24.69,88.18 %
Talara - PVH,Semana 19,12.57,89.77 %
Talara Municipalidad - PVH,Semana 19,13.57,96.91 %
Tumbes - PVH,Semana 19,13.65,97.53 %
Chiclayo - PVH,Semana 20,12.58,89.86 %
Chiclayo Aventura - PVH,Semana 20,13.61,97.20 %
Chimbote - PVH,Semana 20,14.66,97.75 %
El Chacarero - PVH,Semana 20,14.78,105.55 %
Nvo Chimbote - PVH,Semana 20,13.52,96.59 %
Paita - PVH,Semana 20,16.26,116.11 %
Piura - PVH,Semana 20,14.06,100.43 %
Sullana - PVH,Semana 20,19.61,70.03 %
Talara - PVH,Semana 20,12.54,89.57 %
Talara Municipalidad - PVH,Semana 20,14.42,102.97 %
Tumbes - PVH,Semana 20,14.22,101.58 %
Chiclayo - PVH,Semana 21,12.50,89.28 %
Chiclayo Aventura - PVH,Semana 21,13.43,95.92 %
Chimbote - PVH,Semana 21,13.55,90.36 %
El Chacarero - PVH,Semana 21,13.92,99.43 %
Nvo Chimbote - PVH,Semana 21,13.02,92.99 %
Paita - PVH,Semana 21,16.09,114.94 %
Piura - PVH,Semana 21,13.85,98.94 %
Sullana - PVH,Semana 21,19.41,69.31 %
Talara - PVH,Semana 21,11.04,78.87 %
Talara Municipalidad - PVH,Semana 21,14.11,100.78 %
Tumbes - PVH,Semana 21,14.97,106.96 %
Chiclayo - PVH,Semana 22,12.57,89.80 %
Chiclayo Aventura - PVH,Semana 22,13.08,93.43 %
Chimbote - PVH,Semana 22,13.90,92.70 %
El Chacarero - PVH,Semana 22,15.51,110.76 %
