Periodo,Tienda,JEq,JEqAA,JEqMeta,Prod,ProdAA,ProdMeta
202603,P010 Caminos del Inca - PVS,119.34553091397841,116.23979838709668,117.18897502469719,110399,111742,114549.61121360562
202601,P010 Caminos del Inca - PVS,118.0346774193548,118.13788978494615,117.18897502469719,100029,99216,107200.77565788459
202603,P123 El Chacarero - PVH,113.39538978494625,124.59134408602141,102.97612103755296,103607,81573,105455.03454863922
202604,P010 Caminos del Inca - PVS,110.81277083333498,111.65656249999994,117.18897502469719,112023,105546,104364.30202775045
202602,P010 Caminos del Inca - PVS,110.26927083333337,112.30656249999996,117.18897502469719,100519,96588,98099.93061955876
202605,P195 San Borja - PVH,110.01379704300595,107.14657258064513,102.59248347357834,85911,84392,91186.98140794411
202606,P123 El Chacarero - PVH,109.33275694444805,129.92870138888892,102.97612103755296,82770,58893,81145.52633860374
202604,P195 San Borja - PVH,109.28341666666851,107.01658333333337,102.59248347357834,83121,79311,87640.21067893927
202603,P195 San Borja - PVH,109.27870295698922,109.87614919354841,102.59248347357834,92132,91781,99470.2880492036
202605,P123 El Chacarero - PVH,109.0568010752642,135.31649193548384,102.97612103755296,91046,63348,90889.5218667911
202601,P081 La Molina - PVH,109.02208333333334,104.53055779569887,102.17544085783207,79893,87539,96325.75526729984
202602,P195 San Borja - PVH,108.80593750000004,109.21885416666672,102.59248347357834,77741,78222,85333.70971426634
202603,P081 La Molina - PVH,108.14153225806457,105.73222446236558,102.17544085783207,93110,97972,97530.84273319416
202603,P145 Piura - PVH,107.89403897849465,103.26453629032254,102.97612103755296,133787,135059,135161.8891143149
202602,P081 La Molina - PVH,107.85124999999996,103.82505208333338,102.17544085783207,77660,77838,87469.45013464979
202604,P123 El Chacarero - PVH,107.69893750000318,132.95187499999997,102.97612103755296,94534,67974,89866.16849284175
202601,P123 El Chacarero - PVH,106.46374327956991,77.51926075268815,102.97612103755296,88511,85167,79751.74011851821
202602,P123 El Chacarero - PVH,105.65171874999996,79.91338541666669,102.97612103755296,93776,92441,72374.25585959032
202605,P010 Caminos del Inca - PVS,105.08274865591244,120.38315860215056,117.18897502469719,121694,95624,103846.49919956453
202601,P195 San Borja - PVH,103.73444892473123,106.10226478494614,102.59248347357834,83388,81457,90924.202243358
202605,P145 Piura - PVH,103.51715725806167,111.32272177419355,102.97612103755296,104467,88848,101566.29016435651
202606,P195 San Borja - PVH,102.36882638889104,99.97764583333341,102.59248347357834,82506,85948,84933.44983255115
202606,P145 Piura - PVH,102.3508402777798,112.41090972222223,102.97612103755296,90818,77908,90076.662981094
202604,P145 Piura - PVH,102.31268055555788,117.96380555555555,102.97612103755296,108452,82244,99505.45643939411
202601,V290 Asia - VIV,99.35831989247308,96.07499999999999,96.1,53103,50043,51233.57578459939
202603,P126 Santa Clara - PVH,99.35168682795702,91.43533602150531,87.16666928327976,131416,120956,147423.7578051518
202602,P223 Cusco Mall - PVH,98.24973958333335,89.21515624999998,90.43989760689435,95202,88903,94958.94892903241
202601,P048 Higuereta - PVH,97.29440188172043,102.529065860215,90.06082213539496,90621,86079,107714.56035029294
202605,P048 Higuereta - PVH,97.27920698924652,82.39658602150543,90.06082213539496,97118,110744,100905.517266297
202606,P010 Caminos del Inca - PVS,97.18313888889054,118.63527083333344,117.18897502469719,121626,95583,100554.75198683646
202603,P229 Salaverry - PVH,97.12739919354843,87.94135752688169,90.28098269047439,103281,105616,107255.99946334741
202605,P081 La Molina - PVH,96.87162634408585,104.10486559139784,102.17544085783207,98608,89956,88605.4444658267
202601,P223 Cusco Mall - PVH,96.49758736559137,89.95018817204299,90.43989760689435,100627,103200,104104.19406846241
202603,P115 Huancayo - PVH,96.47359543010751,73.50352822580646,96.70800932222366,121745,64184,115386.39285004592
202603,P223 Cusco Mall - PVH,95.89035618279566,86.78400537634406,90.43989760689435,119167,121503,119568.63339234533
202602,V290 Asia - VIV,95.67755208333334,89.11697916666667,96.1,47691,49267,46169.14721436004
202602,P115 Huancayo - PVH,94.79890624999996,85.60583333333332,96.70800932222366,99490,77384,94681.16377094982
202603,P106 Valle Hermoso - PVH,94.13052419354838,97.08905913978488,88.41303453820571,87492,82909,93859.20599087732
202603,P723 Puruchuco - PVH,94.10761424731186,87.08366935483866,83.18443566120098,105964,88006,111233.83704237548
202601,2638 SJB Ayacucho - PVH,93.71273521505375,,84,55382,,63106.89068214286
202603,P064 Miraflores - PVH,93.41198924731185,105.83665994623654,98.00501470036954,102699,101253,112846.3307230982
202605,P119 Puente Piedra - PVH,93.11477150537611,88.7369489247312,86.39328487126737,119407,112007,120228.60825326118
202602,P048 Higuereta - PVH,93.11270833333329,99.7098958333333,90.06082213539496,92296,84677,97858.66739868786
202601,P145 Piura - PVH,92.96065860215047,100.61629704301075,102.97612103755296,105915,91678,92458.434258054
202601,P064 Miraflores - PVH,92.90919354838714,102.92305107526877,98.00501470036954,103414,95075,101902.16827917419
202604,P081 La Molina - PVH,92.63819444444569,105.02484027777781,102.17544085783207,99114,88422,86134.3781784661
202605,P115 Huancayo - PVH,91.84249327956799,99.57180107526877,96.70800932222366,115778,99481,99185.69500836298
202603,P119 Puente Piedra - PVH,91.78298387096778,94.0791532258064,86.39328487126737,144485,130998,142204.97606273938
202605,P229 Salaverry - PVH,91.7029166666667,83.86108198924724,90.28098269047439,104885,107420,102075.57540877689
202603,P048 Higuereta - PVH,91.55059139784942,100.69716397849457,90.06082213539496,110226,100366,114056.08013723641
202602,P229 Salaverry - PVH,91.4668229166667,88.18869791666667,90.28098269047439,94732,83940,90637.19484040765
202604,P115 Huancayo - PVH,91.2874375000016,99.14051388888886,96.70800932222366,114189,93766,97644.28278155022
202606,P048 Higuereta - PVH,91.25856250000179,82.23473611111116,90.06082213539496,96396,104612,93926.93543128847
202606,P081 La Molina - PVH,91.22832638889065,95.63745138888893,102.17544085783207,95406,78286,86731.16550610622
202602,P465 Sucre - PVH,91.0260416666667,84.94697916666668,87.68918414433637,94843,101225,103083.7535131045
202606,P115 Huancayo - PVH,90.98439583333543,100.0042361111111,96.70800932222366,101955,89614,93000.7083067233
202602,P145 Piura - PVH,90.89791666666663,107.52843749999995,102.97612103755296,127786,83319,100101.63634092303
202602,P126 Santa Clara - PVH,90.64473958333332,86.79390624999999,87.16666928327976,119002,89673,108284.24193226044
202603,V290 Asia - VIV,90.58827956989246,78.9843682795699,96.1,30476,35477,29810.388814776277
202601,P115 Huancayo - PVH,90.478434139785,93.2900537634408,96.70800932222366,108357,100241,103489.82257873937
202605,P223 Cusco Mall - PVH,90.19697580645128,81.33303763440864,90.43989760689435,117692,112608,105834.63492411494
202603,P146 Tacna - PVH,89.82975806451611,93.26874327956986,83.32149404806579,128144,115557,152834.02529188822
202604,P229 Salaverry - PVH,89.65522222222395,83.6061041666667,90.28098269047439,101623,102328,98771.10941151569
202604,P048 Higuereta - PVH,89.61297916666855,86.69854861111112,90.06082213539496,97714,101484,98193.367093686
202602,P061 Cortijo - PVH,89.57296875000004,94.31067708333335,85.91077884372821,86383,77592,91121.8656338779
202605,P723 Puruchuco - PVH,89.45322580645188,91.7525940860215,83.18443566120098,100366,86067,100813.75406759506
202602,P102 Chiclayo - PVH,89.25505208333334,92.71963541666666,87.75356401461035,114376,90420,107826.18398865969
202606,P119 Puente Piedra - PVH,89.18709722222388,88.01104861111105,86.39328487126737,103638,103181,110012.30028771533
202603,P147 Juliaca - PVH,89.15144489247312,87.04029569892475,81.93317456466171,133202,111589,145442.73742128012
202603,P102 Chiclayo - PVH,88.98392473118282,99.51299731182799,87.75356401461035,136369,112300,132233.0819836335
202605,P465 Sucre - PVH,88.90108198924642,78.28450940860212,87.68918414433637,109070,116346,104797.06014454384
202602,P106 Valle Hermoso - PVH,88.8113541666667,97.05375,88.41303453820571,77417,68621,82590.80379425907
202602,P723 Puruchuco - PVH,88.68947916666667,84.09994791666666,83.18443566120098,97344,68029,83857.24114677835
202604,P723 Puruchuco - PVH,88.45345833333536,89.57895138888897,83.18443566120098,96857,80139,90405.4680196339
202602,2638 SJB Ayacucho - PVH,88.14385416666664,,84,55258,,59438.87782500001
202606,P229 Salaverry - PVH,88.0743402777793,80.55697222222223,90.28098269047439,95019,103371,94721.10312886832
202602,SO06 Tarapoto 2 - PVO,87.92541666666668,,84,63928,,88558.52701785715
202604,P126 Santa Clara - PVH,87.89559722222435,89.80956250000007,87.16666928327976,131009,109401,117718.12212822818
202605,P064 Miraflores - PVH,87.82506720430113,93.08264112903221,98.00501470036954,112187,94647,99247.09912178936
202603,P061 Cortijo - PVH,87.82055107526881,93.24498655913973,85.91077884372821,100936,94564,103722.4589350877
202604,P106 Valle Hermoso - PVH,87.77601388889036,88.1496388888889,88.41303453820571,88733,83716,86102.56430922967
202602,P119 Puente Piedra - PVH,87.76796875,92.06223958333331,86.39328487126737,122901,105517,114540.39380543392
202601,P119 Puente Piedra - PVH,87.70496639784946,88.22107526881722,86.39328487126737,119201,106283,113159.87525613092
202605,P146 Tacna - PVH,87.14821236559018,88.21011424731182,83.32149404806579,119824,105127,132364.57245519134
202601,P229 Salaverry - PVH,87.14562500000004,91.92571236559138,90.28098269047439,104947,94129,97460.26237958053
202606,SO02 Pucallpa - PVO,86.91195138889029,83.44252777777781,84.61950815694568,98780,96967,101835.5022014233
202601,P061 Cortijo - PVH,86.62970430107531,87.11796370967738,85.91077884372821,88915,89848,99634.45781198252
202604,P064 Miraflores - PVH,86.44475000000153,94.19647222222221,98.00501470036954,105948,101661,96861.10709459646
202601,SO02 Pucallpa - PVO,86.42972446236556,87.11970430107517,84.61950815694568,97845,90992,96511.23923165539
202606,P146 Tacna - PVH,86.21870833333494,87.98820138888881,83.32149404806579,115016,100889,125461.29316247745
202604,SO02 Pucallpa - PVO,86.16270833333422,85.19184722222226,84.61950815694568,103261,93547,100543.54936594672
202605,P126 Santa Clara - PVH,85.88722446236483,92.28469758064513,87.16666928327976,145442,115304,126657.92363845374
202603,SO02 Pucallpa - PVO,85.87903897849456,88.81706317204288,84.61950815694568,120904,101909,117800.62719711983
202601,P147 Juliaca - PVH,85.76152553763443,85.57796370967742,81.93317456466171,103868,94518,104111.1328838845
202601,P102 Chiclayo - PVH,85.75324596774192,86.49073924731174,87.75356401461035,100807,95593,100600.83617720856
202604,P223 Cusco Mall - PVH,85.51768750000149,82.46252777777786,90.43989760689435,126182,110002,101835.25469292338
202602,SO02 Pucallpa - PVO,85.43447916666663,86.68932291666667,84.61950815694568,95683,80936,90428.15235001947
202602,P064 Miraflores - PVH,85.38401041666667,109.66369791666669,98.00501470036954,49085,82545,93405.14464272086
202606,P106 Valle Hermoso - PVH,85.36670138889053,93.98306944444445,88.41303453820571,88839,77975,85052.61325863106
202606,P064 Miraflores - PVH,85.31186805555687,85.05588194444441,98.00501470036954,107447,65233,87868.82580374254
202604,P146 Tacna - PVH,85.25888194444632,88.9023819444445,83.32149404806579,119706,102713,141890.44670970403
202606,P223 Cusco Mall - PVH,85.20205555555725,79.21695833333335,90.43989760689435,107909,107421,98147.55611049406
202601,SO06 Tarapoto 2 - PVO,84.740315860215,,84,71055,,84608.16627142856
202605,P106 Valle Hermoso - PVH,84.70705645161318,95.19049731182797,88.41303453820571,94971,79295,89135.31780084442
202601,P126 Santa Clara - PVH,84.4263037634409,88.27653897849451,87.16666928327976,124635,108773,112747.5089768649
202601,P146 Tacna - PVH,84.1832325268817,86.45846774193545,83.32149404806579,120493,111167,129912.11464541998
202603,SO06 Tarapoto 2 - PVO,83.9971303763441,,84,83320,,109173.94922738092
202606,P126 Santa Clara - PVH,83.8906250000021,91.75186805555553,87.16666928327976,116013,107293,115349.41384445751
202602,P146 Tacna - PVH,83.83255208333331,92.35713541666668,83.32149404806579,116566,101574,123172.34068534133
202605,P147 Juliaca - PVH,83.80994623655887,88.42223118279576,81.93317456466171,125614,94403,121236.94174037661
202603,P465 Sucre - PVH,83.80815860215054,83.2968481182795,87.68918414433637,124619,126391,114740.99096575812
202601,P723 Puruchuco - PVH,83.67879032258067,88.19223790322575,83.18443566120098,96919,83327,83434.19981193867
202603,SO05 Tarapoto - PVO,83.67817876344083,90.84678091397844,76.26782259426129,96124,127747,110956.3198390922
202606,P465 Sucre - PVH,83.09102083333451,80.62721527777774,87.68918414433637,104186,106091,97941.74606828869
202602,P147 Juliaca - PVH,82.9559375,87.09739583333328,81.93317456466171,111022,79726,96949.83377863698
202605,SO02 Pucallpa - PVO,82.83192204301079,85.21036962365585,84.61950815694568,113745,99913,108438.12906216738
202604,P147 Juliaca - PVH,82.53777777777981,90.09641666666671,81.93317456466171,131512,94285,120535.44440910162
202604,P119 Puente Piedra - PVH,82.50904861111279,85.93200000000004,86.39328487126737,127978,110654,114140.67346893487
202603,P114 Pro - PVH,82.30546370967741,79.79012096774191,78.31726123421582,130369,125699,131418.00764482588
202606,P723 Puruchuco - PVH,82.2375555555573,89.33322222222219,83.18443566120098,93228,80382,93323.12579985255
202604,P102 Chiclayo - PVH,81.96003472222431,93.05041666666669,87.75356401461035,115132,89000,101730.10039471094
202605,P102 Chiclayo - PVH,81.9488776881717,95.33755376344091,87.75356401461035,111235,86832,102554.75771447453
202605,P061 Cortijo - PVH,81.33473118279558,85.0616196236559,85.91077884372821,102522,94583,98333.60914893774
202601,P465 Sucre - PVH,80.79848790322586,79.4221975806451,87.68918414433637,104072,114960,111207.44818367474
202601,P106 Valle Hermoso - PVH,80.23401881720429,89.18305779569883,88.41303453820571,92722,81047,89761.9987081269
202603,V095 Monterrico - VIV,80.03004032258066,78.31235887096778,81.02314964838428,70618,73090,71839.23923915334
202603,2638 SJB Ayacucho - PVH,79.87898521505375,,84,73717,,63297.49062142858
202604,P061 Cortijo - PVH,79.81438888888994,85.5543888888889,85.91077884372821,99908,90596,95534.17982543606
202606,P061 Cortijo - PVH,79.61736805555597,84.28670833333334,85.91077884372821,95073,95248,97035.3785892675
202602,P114 Pro - PVH,79.43911458333332,79.67374999999998,78.31726123421582,110701,91190,103341.3836829127
202604,P465 Sucre - PVH,79.29838194444599,77.17937500000004,87.68918414433637,116627,114473,104803.34241077057
202601,P114 Pro - PVH,78.99358870967741,82.70942204301072,78.31726123421582,111534,92554,103102.31612864764
202604,V095 Monterrico - VIV,78.14172916666756,74.99624999999997,81.02314964838428,71742,74415,71887.97602385175
202605,SO05 Tarapoto - PVO,77.84315188172067,86.02459005376335,76.26782259426129,94838,120971,97191.73113194075
202606,P102 Chiclayo - PVH,77.56763194444619,94.94493749999997,87.75356401461035,106467,77124,95403.11434081617
202605,V095 Monterrico - VIV,77.3187163978493,78.13350134408603,81.02314964838428,73684,71144,71502.78452690995
202604,SO05 Tarapoto - PVO,77.27897916666734,88.03530555555557,76.26782259426129,93893,110725,94290.43236041073
202602,V095 Monterrico - VIV,77.21447916666668,78.54036458333331,81.02314964838428,62805,62937,61836.88252978093
202602,1199 San Miguel - PVH,77.1665625,75.76406250000002,72.49465679234328,72365,71586,75062.82212477119
202602,P172 Puno - PVH,77.04375000000003,70.77380208333332,68.773296674594,82251,79599,95951.80170907456
202605,P291 La Curva - PVH,77.04097446236473,75.00683467741933,71.45670864263732,104477,96590,108158.1278988328
202605,P114 Pro - PVH,76.9037029569889,79.44807123655913,78.31726123421582,125355,108385,112556.34636325599
202601,1199 San Miguel - PVH,76.89674059139783,76.16813844086012,72.49465679234328,73234,73057,78326.13969557715
202606,P147 Juliaca - PVH,76.87526388888993,87.54676388888882,81.93317456466171,134712,86828,107771.33651194388
202603,SO03 Huanuco - PVO,76.5329569892473,72.54601478494615,67.45073327700564,121962,118438,138625.43672875984
202601,V095 Monterrico - VIV,75.11616263440858,76.22237903225806,81.02314964838428,68903,69803,67196.4127157154
202603,P172 Puno - PVH,74.8282123655914,68.06479166666671,68.773296674594,102580,97229,102875.14360808075
202603,P291 La Curva - PVH,74.68054435483874,76.84043010752684,71.45670864263732,118321,106219,117130.57290755016
202605,SO03 Huanuco - PVO,74.6778158602149,70.15900537634404,67.45073327700564,115114,111168,123777.23603853211
202603,P080 Bolichera - PVH,74.21256048387097,78.16182123655913,67.65132179184599,102717,111907,98419.85838630752
202603,P109 Dasso - PVS,74.14975806451613,75.05693548387097,73.9708420698925,72883,71034,72725.68328635518
202601,SO03 Huanuco - PVO,73.99131720430101,70.55209677419349,67.45073327700564,115835,110686,130159.94548710033
202606,P114 Pro - PVH,73.93871527777875,77.94811111111107,78.31726123421582,110210,99642,105648.84895751612
202604,P114 Pro - PVH,73.92204166666805,81.82615972222223,78.31726123421582,124487,98611,107035.70151324039
202602,P133 Guardia Civil - PVH,73.72848958333333,76.72765625,69.97856074572657,91683,73548,88476.22119004636
202603,P134 Centro Civico - PVH,73.26864247311825,70.94768145161288,68.68266147265754,94682,89515,91302.87956293665
202604,2638 SJB Ayacucho - PVH,73.18290972222366,,84,74542,,59352.9962154762
202602,SO03 Huanuco - PVO,72.81031250000001,66.20604166666669,67.45073327700564,109020,97060,116004.55495073838
202603,P231 Ventanilla - PVH,72.77727822580647,69.57148521505377,66.09086292651952,114164,113423,123815.08932177197
202603,1199 San Miguel - PVH,72.70826612903228,76.89495295698924,72.49465679234328,88081,84663,91350.88226804943
202603,P133 Guardia Civil - PVH,72.70229166666667,68.20046370967742,69.97856074572657,111742,56192,107563.72139819503
202604,1199 San Miguel - PVH,72.60361111111271,74.47275694444444,72.49465679234328,80351,74928,82469.33969803201
202606,SO03 Huanuco - PVO,72.46754861111224,68.73445833333338,67.45073327700564,108037,108184,121294.30267571435
202601,SO05 Tarapoto - PVO,72.12554435483867,88.98458333333319,76.26782259426129,94005,112628,119655.23794154664
202602,SO05 Tarapoto - PVO,72.02468749999998,82.98666666666666,76.26782259426129,89316,112557,111276.42485808405
202604,SO03 Huanuco - PVO,71.85509722222291,73.44458333333331,67.45073327700564,114559,99138,115190.70502008517
202606,P172 Puno - PVH,71.81081250000082,71.32980555555555,68.773296674594,91465,79984,92238.8662814156
202604,P291 La Curva - PVH,71.78869444444601,73.50092361111112,71.45670864263732,103768,91553,98747.2944379316
202603,P224 Brena - PVH,71.72981854838707,68.14650537634412,69.11462789701389,98481,104701,107476.08157955424
202602,P109 Dasso - PVS,71.72494791666666,78.39947916666668,73.9708420698925,67213,57065,67826.47902479519
202601,P133 Guardia Civil - PVH,71.67440188172043,74.52229166666662,69.97856074572657,92005,85416,92127.21080711421
202602,P080 Bolichera - PVH,71.63161458333332,76.45156250000001,67.65132179184599,87411,80136,92600.88719146163
202604,SO06 Tarapoto 2 - PVO,71.55832638888998,,84,84003,,78786.79018690475
202605,P080 Bolichera - PVH,71.47470430107549,69.96062500000002,67.65132179184599,81432,81399,85501.00919975189
202605,SO06 Tarapoto 2 - PVO,71.3664583333336,,84,86487,,80789.24452619048
202606,P291 La Curva - PVH,71.28566666666838,73.4986875,71.45670864263732,98178,87528,97544.19113758302
202606,P231 Ventanilla - PVH,71.18543055555634,67.52525694444444,66.09086292651952,94041,91678,100280.22901090939
202606,V095 Monterrico - VIV,70.97897916666662,81.9944027777778,81.02314964838428,73488,65243,68307.62662421835
202604,P172 Puno - PVH,70.92161805555762,68.67320833333333,68.773296674594,95870,86011,98210.44831918224
202604,P133 Guardia Civil - PVH,70.84038888889047,69.2669930555556,69.97856074572657,98740,85898,86130.13971237
202605,P224 Brena - PVH,70.32342069892478,71.7712634408602,69.11462789701389,98815,90185,95755.7276060505
202603,P117 Izaguirre - PVH,70.01989919354841,70.5898723118279,67.6979715753391,120499,117534,118051.21856134386
202606,P080 Bolichera - PVH,70.01944444444511,67.06175000000003,67.65132179184599,74721,79319,79894.1442198319
202605,1199 San Miguel - PVH,69.89128360214991,75.87661290322578,72.49465679234328,88222,76804,84078.13464734908
202602,P202 LurIn - PVH,69.51942708333334,67.46187499999998,66.9547957752322,97062,81714,89613.959908747
202605,P109 Dasso - PVS,69.507788978495,73.65209005376344,73.9708420698925,73532,69526,69247.60185452683
202601,P080 Bolichera - PVH,69.45034946236557,72.89469758064513,67.65132179184599,80592,78481,88919.81137056001
202605,P133 Guardia Civil - PVH,69.35428763440821,68.63777553763443,69.97856074572657,110956,93058,93403.79521165208
202604,P231 Ventanilla - PVH,69.34627777777928,66.61997222222223,66.09086292651952,103380,94601,99623.48273800543
202603,P202 LurIn - PVH,69.3349059139785,72.00817204301073,66.9547957752322,116890,98496,105733.12795942808
202605,P231 Ventanilla - PVH,69.2511223118285,70.9383669354839,66.09086292651952,113228,97465,108025.58602446713
202604,P080 Bolichera - PVH,69.21969444444584,71.49649305555555,67.65132179184599,81489,78512,83564.59103037641
202601,P117 Izaguirre - PVH,69.14155913978496,67.94412634408602,67.6979715753391,86281,86025,89248.21507651999
202605,P172 Puno - PVH,68.84382392473113,71.95764784946235,68.773296674594,101518,86263,99753.26055780501
202602,P291 La Curva - PVH,68.68463541666665,70.5821875,71.45670864263732,103990,73610,83669.80798542606
202601,P037 Jockey Plaza - PVH,68.61077284946238,66.08089381720428,63.4231141798556,72234,75403,77006.41506107639
202601,P172 Puno - PVH,68.57200940860217,69.72418682795697,68.773296674594,90802,84090,98922.4654081942
202601,P291 La Curva - PVH,68.57008064516131,71.79995967741934,71.45670864263732,103325,94405,92918.43740110646
202605,2638 SJB Ayacucho - PVH,68.54448924731177,,84,84942,,63624.533322619056
202601,P109 Dasso - PVS,68.5309879032258,77.75612231182795,73.9708420698925,70105,61482,75710.40340609358
202604,P224 Brena - PVH,68.51434722222359,66.28309722222222,69.11462789701389,94569,91832,91487.17347826727
202602,P037 Jockey Plaza - PVH,68.3109375,67.6303125,63.4231141798556,70812,70511,72935.79966102088
202602,P224 Brena - PVH,68.3003125,66.82843750000002,69.11462789701389,88873,89715,88408.97767119425
202603,P122 Ica - PVH,68.18785618279571,65.73451612903226,62.681117153293116,107881,108560,109301.10356113937
202603,P084 Comas - PVH,68.03915322580644,71.91465053763443,63.84593494105465,105327,102072,113522.21694288925
202604,P109 Dasso - PVS,67.8398680555558,75.35913194444444,73.9708420698925,73443,67287,66279.98647585392
202603,P724 Tumbes - PVH,67.50888440860217,59.0848454301075,63.04218861837782,94998,120289,140497.11824119583
202606,P224 Brena - PVH,67.48330555555584,70.29171527777777,69.11462789701389,90958,86233,88702.6323260416
202601,P231 Ventanilla - PVH,67.3797983870968,66.30561827956987,66.09086292651952,102430,92789,91958.51028692357
202602,P231 Ventanilla - PVH,67.19770833333334,71.3084375,66.09086292651952,101126,88914,89023.40326743021
202603,P037 Jockey Plaza - PVH,67.1811357526882,67.33698924731183,63.4231141798556,80606,87298,94289.9438971323
202606,P109 Dasso - PVS,67.11128472222217,73.17352777777782,73.9708420698925,74115,71633,73459.50531651016
202606,SO05 Tarapoto - PVO,66.95368750000033,90.77731249999998,76.26782259426129,99389,111464,89439.85220856783
202602,P724 Tumbes - PVH,66.94390624999998,62.129947916666666,63.04218861837782,86530,87358,104547.41695117239
202603,P259 Moquegua - PVH,66.81984543010752,66.3940120967742,60.397061823201135,101192,92402,106946.64545616548
202604,P122 Ica - PVH,66.815777777779,59.48220833333337,62.681117153293116,91170,98471,92753.85718447666
202604,P225 Cajamarca - PVH,66.81500000000162,54.961909722222224,56.429371630436094,96862,103643,127633.79427771839
202601,P224 Brena - PVH,66.66596774193549,68.69220430107526,69.11462789701389,95035,89552,95204.82994865827
202602,P134 Centro Civico - PVH,66.43640624999999,72.63041666666669,68.68266147265754,83968,61706,72539.50066107161
202601,P122 Ica - PVH,66.40384408602155,62.50642473118281,62.681117153293116,88742,96474,100910.39272850117
202605,P084 Comas - PVH,66.3305040322589,67.36008736559141,63.84593494105465,93057,88042,95763.76501878822
202605,P122 Ica - PVH,66.21204973118256,61.38280241935484,62.681117153293116,90223,94546,95487.15988999487
202606,2638 SJB Ayacucho - PVH,66.17260416666757,,84,77137,,59033.78945476191
202602,P122 Ica - PVH,66.0440625,62.576927083333324,62.681117153293116,89945,87983,90512.94070788479
202602,P117 Izaguirre - PVH,65.97385416666667,68.71885416666666,67.6979715753391,101711,87024,92254.83301149732
202604,P134 Centro Civico - PVH,65.94539583333503,69.16315972222226,68.68266147265754,97399,76277,83220.74378226387
202606,1199 San Miguel - PVH,65.35773611111233,71.61490972222222,72.49465679234328,83928,74423,78218.87798355502
202605,P139 Alameda Sur - PVS,65.2140322580644,62.67234543010752,64.20980276983204,104197,97919,99696.07487266147
202604,V094 Benavides - VIV,65.11074305555628,57.60625694444444,55.57085132952011,49295,54943,59054.1181246348
202606,P117 Izaguirre - PVH,65.10923611111166,69.73691666666667,67.6979715753391,85304,75892,88230.59609330811
202601,P134 Centro Civico - PVH,65.08838037634412,69.34836021505376,68.68266147265754,80688,72719,74553.79854693727
202606,P084 Comas - PVH,64.92067361111124,67.22381944444446,63.84593494105465,85052,77949,84392.04313280898
202604,V116 Javier Prado - VIV,64.83837499999989,50.71811111111112,,45473,64803,
202605,P225 Cajamarca - PVH,64.74896505376357,56.465725806451616,56.429371630436094,103191,106748,129036.53785101924
202605,P134 Centro Civico - PVH,64.68973790322538,70.99467741935484,68.68266147265754,93869,75624,80253.55546675094
202603,P130 Chimbote - PVH,64.68319892473117,66.09194892473113,66.56902434528007,113038,113640,109425.83890846046
202606,P122 Ica - PVH,64.62293055555672,64.24395833333337,62.681117153293116,79340,84102,88730.34722878737
202603,P139 Alameda Sur - PVS,64.59301747311827,59.18631720430107,64.20980276983204,112841,103843,117601.53215495934
202605,P117 Izaguirre - PVH,64.44723118279605,71.90848790322578,67.6979715753391,96954,82036,92752.46515786834
202602,P259 Moquegua - PVH,64.41828125,63.300104166666664,60.397061823201135,83272,76043,81713.42964409167
