nombre,Unid x Minuto,Cumplimiento,Meta Promedio
Sullana - PVH,22.78,81.37 %,28.00
Paita - PVH,16.23,115.90 %,14.00
El Chacarero - PVH,14.67,104.79 %,14.00
Chimbote - PVH,14.42,96.15 %,15.00
Talara Municipalidad - PVH,14.29,102.06 %,14.00
Piura - PVH,13.61,97.25 %,14.00
Tumbes - PVH,13.53,96.63 %,14.00
Chiclayo Aventura - PVH,13.15,93.95 %,14.00
Nvo Chimbote - PVH,12.78,91.27 %,14.00
Chiclayo - PVH,12.57,89.78 %,14.00
Talara - PVH,12.54,89.56 %,14.00
Multiplaza - PVS,,,13.00
Trujillo - PVH,,,14.00
